model;size;cluster_prob;pattern_id;cost;time_s;loose_ends;skeins_used;cuts;floats
dp;100x100;0.95;19;6441.224;1.37598;46;4;19;1235
dp;100x100;0.95;20;6735.1;1.29783;68;4;30;1224
f1s;25x25;0.05;1;939.34;0.00105;4;2;0;326
f1s;25x25;0.05;2;919.125;0.00085;4;2;0;307
f1s;25x25;0.05;3;923.158;0.00075;4;2;0;307
f1s;25x25;0.05;4;901.315;0.00073;4;2;0;293
f1s;25x25;0.05;5;909.071;0.0012;4;2;0;306
f1s;25x25;0.05;6;912.712;0.00104;4;2;0;306
f1s;25x25;0.05;7;904.585;0.00107;4;2;0;306
f1s;25x25;0.05;8;922.025;0.00091;4;2;0;308
f1s;25x25;0.05;9;885.42;0.00143;4;2;0;281
f1s;25x25;0.05;10;885.208;0.00117;4;2;0;292
f1s;25x25;0.05;11;900.899;0.0011;4;2;0;306
f1s;25x25;0.05;12;906.995;0.00091;4;2;0;298
f1s;25x25;0.05;13;906.845;0.00156;4;2;0;296
f1s;25x25;0.05;14;921.676;0.00081;4;2;0;303
f1s;25x25;0.05;15;931.821;0.00073;4;2;0;319
f1s;25x25;0.05;16;884.499;0.00067;4;2;0;285
f1s;25x25;0.05;17;896.566;0.00084;4;2;0;293
f1s;25x25;0.05;18;901.925;0.00072;4;2;0;305
f1s;25x25;0.05;19;937.264;0.00073;4;2;0;334
f1s;25x25;0.05;20;894.163;0.00068;4;2;0;294
f1s;50x50;0.05;1;3616.15;0.00206;4;2;0;1201
f1s;50x50;0.05;2;3639.002;0.00232;4;2;0;1218
f1s;50x50;0.05;3;3626.892;0.00255;4;2;0;1213
f1s;50x50;0.05;4;3647.858;0.00286;4;2;0;1218
f1s;50x50;0.05;5;3602.2;0.00229;4;2;0;1209
f1s;50x50;0.05;6;3677.716;0.00278;4;2;0;1253
f1s;50x50;0.05;7;3636.726;0.00261;4;2;0;1222
f1s;50x50;0.05;8;3604.936;0.00411;4;2;0;1183
f1s;50x50;0.05;9;3647.063;0.00339;4;2;0;1226
f1s;50x50;0.05;10;3631.511;0.00248;4;2;0;1214
f1s;50x50;0.05;11;3590.799;0.00254;4;2;0;1194
f1s;50x50;0.05;12;3649.095;0.00232;4;2;0;1221
f1s;50x50;0.05;13;3639.587;0.00227;4;2;0;1210
f1s;50x50;0.05;14;3616.954;0.00306;4;2;0;1187
f1s;50x50;0.05;15;3662.626;0.00263;4;2;0;1237
f1s;50x50;0.05;16;3702.962;0.00224;4;2;0;1272
f1s;50x50;0.05;17;3698.781;0.00207;4;2;0;1260
f1s;50x50;0.05;18;3665.094;0.00204;4;2;0;1238
f1s;50x50;0.05;19;3677.644;0.00218;4;2;0;1248
f1s;50x50;0.05;20;3636.283;0.00292;4;2;0;1211
f1s;100x100;0.05;1;14579.292;0.00822;4;2;0;4795
f1s;100x100;0.05;2;14711.721;0.00808;4;2;0;4913
f1s;100x100;0.05;3;14751.156;0.00825;4;2;0;4926
f1s;100x100;0.05;4;14652.025;0.00829;4;2;0;4872
f1s;100x100;0.05;5;14673.092;0.00826;4;2;0;4884
f1s;100x100;0.05;6;14657.853;0.00801;4;2;0;4836
f1s;100x100;0.05;7;14786.478;0.00814;6;2;1;4954
f1s;100x100;0.05;8;14637.825;0.0083;4;2;0;4807
f1s;100x100;0.05;9;14680.838;0.01176;4;2;0;4855
f1s;100x100;0.05;10;14714.291;0.00837;4;2;0;4915
f1s;100x100;0.05;11;14691.461;0.00854;4;2;0;4876
f1s;100x100;0.05;12;14762.657;0.01169;4;2;0;4946
f1s;100x100;0.05;13;14595.293;0.00802;4;2;0;4811
f1s;100x100;0.05;14;14746.29;0.00808;4;2;0;4949
f1s;100x100;0.05;15;14685.256;0.00917;4;2;0;4877
f1s;100x100;0.05;16;14745.461;0.00816;4;2;0;4931
f1s;100x100;0.05;17;14658.798;0.00824;4;2;0;4862
f1s;100x100;0.05;18;14690.783;0.0081;4;2;0;4883
